foreas_id;year_id;type;name;regular_budget;public_inv_budget;total
1001;2024;Κεντρική Διοίκηση;Προεδρία της Δημοκρατίας;4636000;0;4636000
1003;2024;Κεντρική Διοίκηση;Βουλή των Ελλήνων;159400000;1000000;160400000
1004;2024;Κεντρική Διοίκηση;Προεδρία της Κυβέρνησης;38259000;5000000;43259000
1007;2024;Υπουργείο;Υπουργείο Εσωτερικών;3337487000;368000000;3705487000
1009;2024;Υπουργείο;Υπουργείο Εξωτερικών;384892000;23000000;407892000
1011;2024;Υπουργείο;Υπουργείο Εθνικής ’μυνας;6093388000;30000000;6123388000
1015;2024;Υπουργείο;Υπουργείο Υγείας;5705031000;322000000;6027031000
1017;2024;Υπουργείο;Υπουργείο Δικαιοσύνης;559464000;66000000;625464000
1020;2024;Υπουργείο;Υπουργείο Παιδείας, Θρησκευμάτων & Αθλητισμού;5452630000;1095000000;6547630000
1022;2024;Υπουργείο;Υπουργείο Πολιτισμού;258113000;142000000;400113000
1024;2024;Υπουργείο;Υπουργείο Εθνικής Οικονομίας & Οικονομικών;1,04718E+12;2720000000;1,0499E+12
1029;2024;Υπουργείο;Υπουργείο Αγροτικής Ανάπτυξης & Τροφίμων;203694000;981000000;1184694000
1031;2024;Υπουργείο;Υπουργείο Περιβάλλοντος & Ενέργειας;295158000;1528000000;1823158000
1032;2024;Υπουργείο;Υπουργείο Εργασίας & Κοινωνικής Ασφάλισης;18019492000;610000000;18629492000
1034;2024;Υπουργείο;Υπουργείο Κοινωνικής Συνοχής & Οικογένειας;3718039000;274000000;3992039000
1036;2024;Υπουργείο;Υπουργείο Ανάπτυξης;125661000;799000000;924661000
1039;2024;Υπουργείο;Υπουργείο Υποδομών & Μεταφορών;883117000;1467000000;2350117000
1041;2024;Υπουργείο;Υπουργείο Ναυτιλίας & Νησιωτικής Πολιτικής;311280000;265000000;576280000
1045;2024;Υπουργείο;Υπουργείο Τουρισμού;38787000;129000000;167787000
1053;2024;Υπουργείο;Υπουργείο Ψηφιακής Διακυβέρνησης;185765000;658000000;843765000
1055;2024;Υπουργείο;Υπουργείο Μετανάστευσης & Ασύλου;124304000;349000000;473304000
1057;2024;Υπουργείο;Υπουργείο Προστασίας του Πολίτη;2184973000;78000000;2262973000
1060;2024;Υπουργείο;Υπουργείο Κλιματικής Κρίσης & Πολιτικής Προστασίας;679610000;257000000;936610000
1901;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αττικής;11629000;0;11629000
1902;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;10659000;0;10659000
1903;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;9796000;0;9796000
1904;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας & Ιονίου;15415000;0;15415000
1905;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αιγαίου;6211000;0;6211000
1906;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Κρήτης;6719000;0;6719000
1907;2024;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;19863000;0;19863000
