foreis_id;year_id;type;name;regular_budget;public_inv_budget;total
1001;2025;Κεντρική Διοίκηση;Προεδρία της Δημοκρατίας;4638000;0;4638000
1003;2025;Κεντρική Διοίκηση;Βουλή των Ελλήνων;169950000;2000000;171950000
1004;2025;Κεντρική Διοίκηση;Προεδρία της Κυβέρνησης;37689000;4000000;41689000
1007;2025;Υπουργείο;Υπουργείο Εσωτερικών;3449276000;381000000;3830276000
1009;2025;Υπουργείο;Υπουργείο Εξωτερικών;390237000;30000000;420237000
1011;2025;Υπουργείο;Υπουργείο Εθνικής ’μυνας;6061000000;69000000;6130000000
1015;2025;Υπουργείο;Υπουργείο Υγείας;6608424000;569000000;7177424000
1017;2025;Υπουργείο;Υπουργείο Δικαιοσύνης;577803000;73000000;650803000
1020;2025;Υπουργείο;Υπουργείο Παιδείας, Θρησκευμάτων και Αθλητισμού;5594000000;1012000000;6606000000
1022;2025;Υπουργείο;Υπουργείο Πολιτισμού;257419000;318000000;575419000
1024;2025;Υπουργείο;Υπουργείο Εθνικής Οικονομίας και Οικονομικών;1,24338E+12;3137000000;1,24652E+12
1029;2025;Υπουργείο;Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων;222403000;1059000000;1281403000
1031;2025;Υπουργείο;Υπουργείο Περιβάλλοντος και Ενέργειας;319227000;2022000000;2341227000
1032;2025;Υπουργείο;Υπουργείο Εργασίας και Κοινωνικής Ασφάλισης;18215084000;463000000;18678084000
1034;2025;Υπουργείο;Υπουργείο Κοινωνικής Συνοχής και Οικογένειας;3786553000;203000000;3989553000
1036;2025;Υπουργείο;Υπουργείο Ανάπτυξης;123045000;695000000;818045000
1039;2025;Υπουργείο;Υπουργείο Υποδομών και Μεταφορών;881810000;1813000000;2694810000
1041;2025;Υπουργείο;Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής;336864000;315000000;651864000
1045;2025;Υπουργείο;Υπουργείο Τουρισμού;39293000;150000000;189293000
1053;2025;Υπουργείο;Υπουργείο Ψηφιακής Διακυβέρνησης;151928000;922000000;1073928000
1055;2025;Υπουργείο;Υπουργείο Μετανάστευσης και Ασύλου;141871000;334000000;475871000
1057;2025;Υπουργείο;Υπουργείο Προστασίας του Πολίτη;2217820000;68000000;2285820000
1060;2025;Υπουργείο;Υπουργείο Κλιματικής Κρίσης και Πολιτικής Προστασίας;760116000;461000000;1221116000
1901;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αττικής;13091000;0;13091000
1902;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας;10579000;0;10579000
1903;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας;9943000;0;9943000
1904;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου;14918000;0;14918000
1905;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Αιγαίου;6188000;0;6188000
1906;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Κρήτης;6497000;0;6497000
1907;2025;Αποκεντρωμένη Διοίκηση;Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης;18376000;0;18376000
