year_id;type;name;amount
2026;Έσοδο;Φόροι;65586000000
2026;Έσοδο;Κοινωνικές εισφορές;60000000
2026;Έσοδο; Μεταβιβάσεις;10943000000
2026;Έσοδο; Πωλήσεις αγαθών και υπηρεσιών;1201000000
2026;Έσοδο;Λοιπά τρέχοντα έσοδα;2407000000
2026;Έσοδο;Πάγια Περιουσιακά Στοιχεία;51000000
2026;Έσοδο;Χρεωστικοί τίτλοι;11000000
2026;Έσοδο;Δάνεια;5525000000
2026;Έσοδο;Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων;228000000
2026;Έσοδο;Υποχρεώσεις από νόμισμα και καταθέσεις;63000000
2026;Έσοδο;Χρεωστικοί τίτλοι (υποχρεώσεις);23875000000
2026;Έσοδο;Δάνεια;1654726000000
2026;Έσοδο;Χρηματοοικονομικά παράγωγα;959000000
